file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI1246WERI	analysis-ready	IGVFDS9439VWMI	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell annotations	tsv	666008	59fd44b9bcb234439a981f575f0a0ac6	https://api.data.igvf.org/tabular-files/IGVFFI1246WERI/@@download/IGVFFI1246WERI.tsv.gz	s3://igvf-public/2026/07/17/e66fdad8-86d6-4b07-b3ea-83b6f23d0555/IGVFFI1246WERI.tsv.gz
IGVFFI1302NBKA	analysis-ready	IGVFDS9439VWMI	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell by bin methylation count matrix	h5ad	396939809	277d91f0fc4a05c1eb341943635d9a99	https://api.data.igvf.org/matrix-files/IGVFFI1302NBKA/@@download/IGVFFI1302NBKA.h5ad	s3://igvf-public/2026/07/17/8645eb31-211b-4fe0-963a-2751d282727a/IGVFFI1302NBKA.h5ad
IGVFFI5791QURW	analysis-ready	IGVFDS9439VWMI	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell by gene matrix	h5ad	1174327796	c6e8618df676f5da846c6ce668074380	https://api.data.igvf.org/matrix-files/IGVFFI5791QURW/@@download/IGVFFI5791QURW.h5ad	s3://igvf-public/2026/07/17/78cf3445-dac3-444e-9b26-50c274c21a6d/IGVFFI5791QURW.h5ad
IGVFFI2486XATY	analysis-ready	IGVFDS9439VWMI	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell by position methylation count matrix	h5ad	339847248872	2f6240a097b4b5082ab1d08a7965ac2f	https://api.data.igvf.org/matrix-files/IGVFFI2486XATY/@@download/IGVFFI2486XATY.h5ad	s3://igvf-public/2026/07/27/25c5312a-f63e-4b25-ab43-e8ced84fbba4/IGVFFI2486XATY.h5ad
IGVFFI2162MFZO	analysis-ready	IGVFDS9439VWMI	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	methylation regions	bed	14586	b3795fdbf786b630c12248a19695f1d7	https://api.data.igvf.org/tabular-files/IGVFFI2162MFZO/@@download/IGVFFI2162MFZO.bed.gz	s3://igvf-public/2026/07/17/458e332f-7631-4a26-a8de-48433c361ab3/IGVFFI2162MFZO.bed.gz
