file_accession	tier	file_set	donors	days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI4213OHNG	processed	IGVFDS5909SEWH	C29	0	variants	gvcf	4628756172	e376767b7a11d58c89576ab32bb06df4	https://api.data.igvf.org/tabular-files/IGVFFI4213OHNG/@@download/IGVFFI4213OHNG.gvcf.gz	s3://igvf-public/2026/01/26/b99beee1-e5e3-429f-8499-6116464c92ca/IGVFFI4213OHNG.gvcf.gz
IGVFFI4862LHBO	processed	IGVFDS5549VCFM	C37	0	variants	gvcf	4260784038	0afb79cd7035842e0d46a0fcbc667e75	https://api.data.igvf.org/tabular-files/IGVFFI4862LHBO/@@download/IGVFFI4862LHBO.gvcf.gz	s3://igvf-public/2026/01/26/0a6739d7-864b-4388-8340-b57e4313e512/IGVFFI4862LHBO.gvcf.gz
IGVFFI4085LOVZ	processed	IGVFDS9862HFSY	C38	0	variants	gvcf	4262620579	ad3e1fe16e9087b156ca0e23986fc460	https://api.data.igvf.org/tabular-files/IGVFFI4085LOVZ/@@download/IGVFFI4085LOVZ.gvcf.gz	s3://igvf-public/2026/01/26/8b7f0bef-faf9-4c75-abb7-5428b74c4793/IGVFFI4085LOVZ.gvcf.gz
IGVFFI6275EQZP	processed	IGVFDS1947BIGJ	C39	0	variants	gvcf	4583525817	22e6ad3097bd437db4f518f1e9ee7173	https://api.data.igvf.org/tabular-files/IGVFFI6275EQZP/@@download/IGVFFI6275EQZP.gvcf.gz	s3://igvf-public/2026/01/26/5674f027-ff86-41c6-9902-48a5cdf190e9/IGVFFI6275EQZP.gvcf.gz
