file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI7735NWHG	processed	IGVFDS9888FLFE	C37	12	C37:12	cell by gene matrix	h5ad	38447392	8cd692928edcba0174f74bb3c0a9db79	https://api.data.igvf.org/matrix-files/IGVFFI7735NWHG/@@download/IGVFFI7735NWHG.h5ad	s3://igvf-public/2026/01/28/56992f1f-bbde-4ac4-b656-6eb2e7d698b3/IGVFFI7735NWHG.h5ad
IGVFFI4128KYRW	processed	IGVFDS9888FLFE	C37	12	C37:12	cell by position methylation count matrix	h5ad	9249204824	f499c807b7612e03c5b542cdf27361a3	https://api.data.igvf.org/matrix-files/IGVFFI4128KYRW/@@download/IGVFFI4128KYRW.h5ad	s3://igvf-public/2026/02/17/f8128a89-3a81-41ba-b55d-43345a17da9a/IGVFFI4128KYRW.h5ad
IGVFFI1654YDQN	processed	IGVFDS9888FLFE	C37	12	C37:12	methylation counts	tsv	148211320	a3cca62b3e837fb373e80b381a09062a	https://api.data.igvf.org/tabular-files/IGVFFI1654YDQN/@@download/IGVFFI1654YDQN.tsv.gz	s3://igvf-public/2026/01/28/85b41589-0592-410f-957d-7545844d1f56/IGVFFI1654YDQN.tsv.gz
IGVFFI3715LNQM	processed	IGVFDS9888FLFE	C37	12	C37:12	per-cell quality report	tsv	763382	2b50e3309bd83263a2f6ff531c9b8832	https://api.data.igvf.org/tabular-files/IGVFFI3715LNQM/@@download/IGVFFI3715LNQM.tsv.gz	s3://igvf-public/2026/07/31/6abb4545-f006-4196-8540-6c6d730facde/IGVFFI3715LNQM.tsv.gz
IGVFFI2136NWFI	processed	IGVFDS7988ENHI	C37	1	C37:1	alignments	bam	4483140966	a7ff8e28ddb87ea3aac586a63b85f51a	https://api.data.igvf.org/alignment-files/IGVFFI2136NWFI/@@download/IGVFFI2136NWFI.bam	s3://igvf-public/2026/02/03/976e8980-5768-41d3-a9aa-642ca783505b/IGVFFI2136NWFI.bam
IGVFFI2578GXRJ	processed	IGVFDS7988ENHI	C37	1	C37:1	alignments	bam	48605208400	0541cabc60b5a5f51dca7bb364700b20	https://api.data.igvf.org/alignment-files/IGVFFI2578GXRJ/@@download/IGVFFI2578GXRJ.bam	s3://igvf-public/2026/01/28/2814e04d-c7b0-43a3-bd0d-a3a3697e9c61/IGVFFI2578GXRJ.bam
IGVFFI1748LDST	processed	IGVFDS7988ENHI	C37	1	C37:1	cell by bin methylation count matrix	h5ad	81710960	fd8ef004fadce47ac8ffe9fd67460d9c	https://api.data.igvf.org/matrix-files/IGVFFI1748LDST/@@download/IGVFFI1748LDST.h5ad	s3://igvf-public/2026/01/28/4c9d2607-e43b-4e46-812e-e1f1aeb523d8/IGVFFI1748LDST.h5ad
IGVFFI4547IOLP	processed	IGVFDS7988ENHI	C37	1	C37:1	cell by gene matrix	h5ad	47800384	334d9ee1ae6de9a366536a73ee36b4ae	https://api.data.igvf.org/matrix-files/IGVFFI4547IOLP/@@download/IGVFFI4547IOLP.h5ad	s3://igvf-public/2026/01/28/f57f23e5-fb97-4c7d-a132-4df10fe4f71c/IGVFFI4547IOLP.h5ad
IGVFFI0827ZWRY	processed	IGVFDS7988ENHI	C37	1	C37:1	cell by position methylation count matrix	h5ad	12128671256	7990ac0507168524e8d4dc43e5c75a08	https://api.data.igvf.org/matrix-files/IGVFFI0827ZWRY/@@download/IGVFFI0827ZWRY.h5ad	s3://igvf-public/2026/02/17/696ec799-327f-4a4d-8bcb-874951ac230f/IGVFFI0827ZWRY.h5ad
IGVFFI9695IITV	processed	IGVFDS7988ENHI	C37	1	C37:1	methylation counts	tsv	153191512	5e690feeb616859474c799ef7c464e76	https://api.data.igvf.org/tabular-files/IGVFFI9695IITV/@@download/IGVFFI9695IITV.tsv.gz	s3://igvf-public/2026/01/28/5e3f5a64-c9f3-4c96-b62a-59f03f89cd3b/IGVFFI9695IITV.tsv.gz
IGVFFI2608KWMC	processed	IGVFDS7988ENHI	C37	1	C37:1	per-cell quality report	tsv	826720	0a9f0db8368633f675a7625d81358326	https://api.data.igvf.org/tabular-files/IGVFFI2608KWMC/@@download/IGVFFI2608KWMC.tsv.gz	s3://igvf-public/2026/07/31/f81d386c-82db-4b09-b776-31eb52b45fe0/IGVFFI2608KWMC.tsv.gz
IGVFFI2244DJDZ	processed	IGVFDS7766XEPS	C37	3	C37:3	alignments	bam	48875125192	30f74b02b7a462bb41245268ddbff278	https://api.data.igvf.org/alignment-files/IGVFFI2244DJDZ/@@download/IGVFFI2244DJDZ.bam	s3://igvf-public/2026/01/28/bf055ad2-87f3-479b-9ea5-4a5dc8d80f33/IGVFFI2244DJDZ.bam
IGVFFI3857WFIP	processed	IGVFDS7766XEPS	C37	3	C37:3	alignments	bam	5255947411	7496e3509bf67b07338a2776c1442683	https://api.data.igvf.org/alignment-files/IGVFFI3857WFIP/@@download/IGVFFI3857WFIP.bam	s3://igvf-public/2026/02/03/457b8077-56d2-4684-b93d-103b0d3e65d6/IGVFFI3857WFIP.bam
