file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI9432IPXG	processed	IGVFDS8031QCDA	C37	5	C37:5	cell by bin contact matrix	mcool	176528981	f5cca86f4dc35c13c2c071240810d09c	https://api.data.igvf.org/matrix-files/IGVFFI9432IPXG/@@download/IGVFFI9432IPXG.mcool	s3://igvf-public/2026/01/28/ddbc9d3c-da60-451c-b123-245a8cc65dbc/IGVFFI9432IPXG.mcool
IGVFFI6311CXRO	processed	IGVFDS8031QCDA	C37	5	C37:5	cell by bin methylation count matrix	h5ad	97958722	196a1f4b7c3e70038d831206660aea2d	https://api.data.igvf.org/matrix-files/IGVFFI6311CXRO/@@download/IGVFFI6311CXRO.h5ad	s3://igvf-public/2026/01/28/3c386a6c-9fc6-4c95-8f30-9cec493c4bae/IGVFFI6311CXRO.h5ad
IGVFFI7202POYR	processed	IGVFDS8031QCDA	C37	5	C37:5	cell by position methylation count matrix	h5ad	11674703432	c5e9470ec8b5f9d57fb65b6b680b26e1	https://api.data.igvf.org/matrix-files/IGVFFI7202POYR/@@download/IGVFFI7202POYR.h5ad	s3://igvf-public/2026/02/17/9decb8ae-7ef7-4ec6-9e4c-e8f042df33c9/IGVFFI7202POYR.h5ad
IGVFFI8623REVS	processed	IGVFDS8031QCDA	C37	5	C37:5	chromatin contact quantifications	bedpe	4546432990	da8f147406d27344547ca0c0c217301a	https://api.data.igvf.org/tabular-files/IGVFFI8623REVS/@@download/IGVFFI8623REVS.bedpe.gz	s3://igvf-public/2026/01/28/5d46b679-2c31-4b99-b9fe-3e5580c997ba/IGVFFI8623REVS.tsv.gz
IGVFFI1659TVOX	processed	IGVFDS8031QCDA	C37	5	C37:5	index	tbi	2239672	69d43b41014efe5da3d316bdf9e215ee	https://api.data.igvf.org/index-files/IGVFFI1659TVOX/@@download/IGVFFI1659TVOX.tbi	s3://igvf-public/2026/03/26/3c0058b8-a423-4a46-9a42-e8e27f7e4e3b/IGVFFI1659TVOX.tbi
IGVFFI6635UQTJ	processed	IGVFDS8031QCDA	C37	5	C37:5	methylation counts	tsv	156335955	79c2f3976558e593b22a2c6ad3839228	https://api.data.igvf.org/tabular-files/IGVFFI6635UQTJ/@@download/IGVFFI6635UQTJ.tsv.gz	s3://igvf-public/2026/01/28/520aeb22-d719-4a8d-958f-b384d76ccac2/IGVFFI6635UQTJ.tsv.gz
IGVFFI4705VWND	processed	IGVFDS8031QCDA	C37	5	C37:5	per-cell quality report	tsv	314796	897671a11ae40f393c564f59bd95abf2	https://api.data.igvf.org/tabular-files/IGVFFI4705VWND/@@download/IGVFFI4705VWND.tsv.gz	s3://igvf-public/2026/07/31/f4dad991-bb74-4e42-a58b-6df5cdab9cfa/IGVFFI4705VWND.tsv.gz
IGVFFI5036WCYU	processed	IGVFDS1815HRAY	C37	7	C37:7	alignments	bam	57488206924	72d7fa0474ee55c342759fbbe1b8efdb	https://api.data.igvf.org/alignment-files/IGVFFI5036WCYU/@@download/IGVFFI5036WCYU.bam	s3://igvf-public/2026/01/28/128a26b1-f0f6-493c-ac8d-669153215908/IGVFFI5036WCYU.bam
IGVFFI4900NTOV	processed	IGVFDS1815HRAY	C37	7	C37:7	cell by bin contact matrix	mcool	158241983	8499d13008fe7a4e6b0174287a6ff697	https://api.data.igvf.org/matrix-files/IGVFFI4900NTOV/@@download/IGVFFI4900NTOV.mcool	s3://igvf-public/2026/01/28/01dac862-e733-4ae9-a91c-b7bcc8d2a1a3/IGVFFI4900NTOV.mcool
IGVFFI1779OOZS	processed	IGVFDS1815HRAY	C37	7	C37:7	cell by bin methylation count matrix	h5ad	97958722	344c1a5508ed11a444100d48c20e4b06	https://api.data.igvf.org/matrix-files/IGVFFI1779OOZS/@@download/IGVFFI1779OOZS.h5ad	s3://igvf-public/2026/01/28/b35b7cbb-ddeb-4a48-b8d4-98f66ee55c44/IGVFFI1779OOZS.h5ad
IGVFFI7343MSRV	processed	IGVFDS1815HRAY	C37	7	C37:7	cell by position methylation count matrix	h5ad	11189278280	d08155d54d3b502be76445084d4450d6	https://api.data.igvf.org/matrix-files/IGVFFI7343MSRV/@@download/IGVFFI7343MSRV.h5ad	s3://igvf-public/2026/02/17/e33cefe9-aa61-440e-8bcb-269cf4f4006b/IGVFFI7343MSRV.h5ad
IGVFFI3273XTSW	processed	IGVFDS1815HRAY	C37	7	C37:7	chromatin contact quantifications	bedpe	4249823136	8b78abde678f29a925dec353978dbbf2	https://api.data.igvf.org/tabular-files/IGVFFI3273XTSW/@@download/IGVFFI3273XTSW.bedpe.gz	s3://igvf-public/2026/01/28/76d84969-ecbc-477a-8f80-dc92801ce6af/IGVFFI3273XTSW.tsv.gz
