file_accession	tier	file_set	donors	days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI0412JJWO	analysis-ready	IGVFDS6501PVZQ	A8;C29;C38	6;13;30	cell annotations	tsv	485646	1a620951e7ce5c17c25537b4f38b3b18	https://api.data.igvf.org/tabular-files/IGVFFI0412JJWO/@@download/IGVFFI0412JJWO.tsv.gz	s3://igvf-public/2026/07/23/5112df2c-5f7e-4d5b-8a7a-4d927b4cf9ba/IGVFFI0412JJWO.csv.gz
IGVFFI2804FOOR	analysis-ready	IGVFDS6501PVZQ	A8;C29;C38	6;13;30	cell by gene matrix	h5ad	236100424	76051c35d55538ed95c4150705c9abf0	https://api.data.igvf.org/matrix-files/IGVFFI2804FOOR/@@download/IGVFFI2804FOOR.h5ad	s3://igvf-public/2026/07/23/dd521eb5-2289-455e-a2b9-6c74afe5df8d/IGVFFI2804FOOR.h5ad
IGVFFI3564FUQJ	analysis-ready	IGVFDS6501PVZQ	A8;C29;C38	6;13;30	cell by gene matrix	h5ad	608294323	e7a48259aecbba91212a8f3394e8d56f	https://api.data.igvf.org/matrix-files/IGVFFI3564FUQJ/@@download/IGVFFI3564FUQJ.h5ad	s3://igvf-public/2026/07/23/f79286f5-aeed-4e2c-aaba-d86a104d1f8f/IGVFFI3564FUQJ.h5ad
IGVFFI9846GOMO	analysis-ready	IGVFDS6501PVZQ	A8;C29;C38	6;13;30	cell by gene matrix	h5ad	5538687155	7e22cec235c4ef18ee627ccf6153e90a	https://api.data.igvf.org/matrix-files/IGVFFI9846GOMO/@@download/IGVFFI9846GOMO.h5ad	s3://igvf-public/2026/07/23/9b42e5a7-0ddb-4ebe-8f5a-6a52fdc82d5a/IGVFFI9846GOMO.h5ad
