file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI8615LFUF	raw	IGVFDS0428XVMY	A8	0;30	A8:0;A8:30	raw field of view images	tar	28463221684	957683849bb604b3dec066a71cbe4dfc	https://api.data.igvf.org/image-files/IGVFFI8615LFUF/@@download/IGVFFI8615LFUF.tar.gz	s3://igvf-public/2026/07/22/302ec758-d582-4a78-bb98-f5118f385eed/IGVFFI8615LFUF.tar.gz
IGVFFI6609HMOQ	raw	IGVFDS3696RYEX	A8	0;30	A8:0;A8:30	raw field of view images	tar	28972061119	ec3f61f1fd2a2c5a113a120bedd293f4	https://api.data.igvf.org/image-files/IGVFFI6609HMOQ/@@download/IGVFFI6609HMOQ.tar.gz	s3://igvf-public/2026/07/22/57254d2f-26e7-4d8b-aaa7-14e6285659bf/IGVFFI6609HMOQ.tar.gz
IGVFFI6047WYIW	raw	IGVFDS1291OUJP	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	raw field of view images	tar	85574228244	24027b61efd9df0e2dd70f874f6f14b9	https://api.data.igvf.org/image-files/IGVFFI6047WYIW/@@download/IGVFFI6047WYIW.tar.gz	s3://igvf-public/2026/07/22/4ec88f0f-0d35-4d12-a2d2-a43abf4fecbf/IGVFFI6047WYIW.tar.gz
IGVFFI8788XVVM	raw	IGVFDS7077XANO	C29;C38	9;13	C29:9;C29:13;C38:9;C38:13	raw field of view images	tar	92990435801	3ad789ee096cf9d8c32d3d2ebe1521f2	https://api.data.igvf.org/image-files/IGVFFI8788XVVM/@@download/IGVFFI8788XVVM.tar.gz	s3://igvf-public/2026/07/22/e176211d-f512-4649-bd55-0428ff079fc6/IGVFFI8788XVVM.tar.gz
IGVFFI8365BBGV	raw	IGVFDS2615TOUW	C29;C38	3;6	C29:3;C29:6;C38:3;C38:6	raw field of view images	tar	112229242971	55585e5597b6462c2c8815747f1e33dd	https://api.data.igvf.org/image-files/IGVFFI8365BBGV/@@download/IGVFFI8365BBGV.tar.gz	s3://igvf-public/2026/07/22/3332a594-de5f-4844-b40e-bf0d64b90677/IGVFFI8365BBGV.tar.gz
IGVFFI3838LRPK	raw	IGVFDS3964LWWZ	C29;C38	9;13	C29:9;C29:13;C38:9;C38:13	raw field of view images	tar	103227530153	ee0ef445fe6e82321cba9dfe2245999e	https://api.data.igvf.org/image-files/IGVFFI3838LRPK/@@download/IGVFFI3838LRPK.tar.gz	s3://igvf-public/2026/07/22/52a16191-5e9f-4381-969c-60a381344878/IGVFFI3838LRPK.tar.gz
