file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI9980PISA	analysis-ready	IGVFDS8004ZFOL	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell annotations	tsv	643882	84eef11b4e1b3b9b04d38f56a7c774cf	https://api.data.igvf.org/tabular-files/IGVFFI9980PISA/@@download/IGVFFI9980PISA.tsv.gz	s3://igvf-public/2026/07/17/b84412fd-5799-4952-8af7-944e6b4b73f7/IGVFFI9980PISA.tsv.gz
IGVFFI4105CJEZ	analysis-ready	IGVFDS8004ZFOL	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell by bin methylation count matrix	h5ad	3200017153	3e32b6aa68e432fb0a8356232c96a7bb	https://api.data.igvf.org/matrix-files/IGVFFI4105CJEZ/@@download/IGVFFI4105CJEZ.h5ad	s3://igvf-public/2026/07/17/af87f71c-c39b-420a-bc06-31a70e869b5b/IGVFFI4105CJEZ.h5ad
IGVFFI1143UADW	analysis-ready	IGVFDS8004ZFOL	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell by position methylation count matrix	h5ad	448764725832	cf1a4b63d56dba55299024c174cfeb59	https://api.data.igvf.org/matrix-files/IGVFFI1143UADW/@@download/IGVFFI1143UADW.h5ad	s3://igvf-public/2026/07/27/ed834b62-eb83-4497-b164-3bea39427cf9/IGVFFI1143UADW.h5ad
IGVFFI0080SQKN	analysis-ready	IGVFDS8004ZFOL	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	chromatin contact quantifications	bedpe	173637477277	047b89b92f01ca4b7b92bb2d6147f245	https://api.data.igvf.org/tabular-files/IGVFFI0080SQKN/@@download/IGVFFI0080SQKN.bedpe.gz	s3://igvf-public/2026/07/27/50f5fb49-c9ba-40c9-bb84-99863f886048/IGVFFI0080SQKN.bedpe.gz
