file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI6911IUTB	analysis-ready	IGVFDS3268OMJN	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C37:16;C37:18;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C38:16;C38:18;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	alignments	bam	113780131924	baa055c45dcc657cb8eab06bdea2ccba	https://api.data.igvf.org/alignment-files/IGVFFI6911IUTB/@@download/IGVFFI6911IUTB.bam	s3://igvf-public/2026/07/30/38ea3d5a-f18d-4921-b91c-2f25dc85b2bf/IGVFFI6911IUTB.bam
IGVFFI9023NKZM	analysis-ready	IGVFDS3268OMJN	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C37:16;C37:18;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C38:16;C38:18;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell annotations	tsv	2650678	9b1ea6f0d6a90bb47483ea10563cc085	https://api.data.igvf.org/tabular-files/IGVFFI9023NKZM/@@download/IGVFFI9023NKZM.tsv.gz	s3://igvf-public/2026/07/15/2f26b8f2-b5fe-4c1f-8057-533c5baf657d/IGVFFI9023NKZM.csv.gz
IGVFFI5043FWMC	analysis-ready	IGVFDS3268OMJN	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C37:16;C37:18;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C38:16;C38:18;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell by gene matrix	h5ad	609867045	cfc8a5b2c789971d8eb679b80f98c788	https://api.data.igvf.org/matrix-files/IGVFFI5043FWMC/@@download/IGVFFI5043FWMC.h5ad	s3://igvf-public/2026/07/15/81c9b5ff-382d-4fe6-a40c-618d7308c483/IGVFFI5043FWMC.h5ad
IGVFFI1051YIEC	analysis-ready	IGVFDS3268OMJN	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C37:16;C37:18;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C38:16;C38:18;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	cell by peak matrix	rds	201752561	2960a58d59cb4386f63bd193de1e63c7	https://api.data.igvf.org/matrix-files/IGVFFI1051YIEC/@@download/IGVFFI1051YIEC.rds	s3://igvf-public/2026/07/15/9219de5a-1753-4e4f-9e79-72236f23e6b0/IGVFFI1051YIEC.rds
IGVFFI8639CFWZ	analysis-ready	IGVFDS3268OMJN	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C37:16;C37:18;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C38:16;C38:18;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	fragments	tsv	10871507954	6dc0ff0c03ac52df671dcc2fa2973373	https://api.data.igvf.org/tabular-files/IGVFFI8639CFWZ/@@download/IGVFFI8639CFWZ.tsv.gz	s3://igvf-public/2026/07/27/da847a5f-bfd8-448a-a868-7f5d23614ba3/IGVFFI8639CFWZ.tsv.gz
IGVFFI3605GXMQ	analysis-ready	IGVFDS3268OMJN	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C37:16;C37:18;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C38:16;C38:18;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	marker genes	tsv	1780343	3e1574f06f9b5fe12862675a1c475176	https://api.data.igvf.org/tabular-files/IGVFFI3605GXMQ/@@download/IGVFFI3605GXMQ.tsv.gz	s3://igvf-public/2026/07/22/0e844e95-0cff-430d-b089-bb8c521c38e7/IGVFFI3605GXMQ.tsv.gz
IGVFFI7116YAJZ	analysis-ready	IGVFDS3268OMJN	C29;C37;C38;C39	0;1;3;5;7;9;12;14;16;18	C29:0;C29:1;C29:3;C29:5;C29:7;C29:9;C29:12;C29:14;C29:16;C29:18;C37:0;C37:1;C37:3;C37:5;C37:7;C37:9;C37:12;C37:14;C37:16;C37:18;C38:0;C38:1;C38:3;C38:5;C38:7;C38:9;C38:12;C38:14;C38:16;C38:18;C39:0;C39:1;C39:3;C39:5;C39:7;C39:9;C39:12;C39:14;C39:16;C39:18	peaks	bed	4765845	76e912177aa2fc784a613b2ee643c7cf	https://api.data.igvf.org/tabular-files/IGVFFI7116YAJZ/@@download/IGVFFI7116YAJZ.bed.gz	s3://igvf-public/2026/07/16/9ecf6ff3-5219-4879-86f6-bbbd008728e8/IGVFFI7116YAJZ.bed.gz
