file_accession	tier	file_set	donors	days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI5170EEQT	raw	IGVFDS6578UICO	C29	0	reads	fastq	1722084190	7f0c9ee048c5536e444687b62de23512	https://api.data.igvf.org/sequence-files/IGVFFI5170EEQT/@@download/IGVFFI5170EEQT.fastq.gz	s3://igvf-public/2026/08/06/31098603-a1d0-423d-bb46-bc6efc3b5860/IGVFFI5170EEQT.fastq.gz
IGVFFI5301SBLF	raw	IGVFDS6578UICO	C29	0	reads	fastq	1719868809	fdbfbc9b53956bcc0cb04b4236420095	https://api.data.igvf.org/sequence-files/IGVFFI5301SBLF/@@download/IGVFFI5301SBLF.fastq.gz	s3://igvf-public/2026/08/06/1fd53695-f3c9-4604-8863-663fc173534f/IGVFFI5301SBLF.fastq.gz
IGVFFI5816WINA	raw	IGVFDS6578UICO	C29	0	reads	fastq	1577980028	90261bec6f746e3e0ecec8600e63283d	https://api.data.igvf.org/sequence-files/IGVFFI5816WINA/@@download/IGVFFI5816WINA.fastq.gz	s3://igvf-public/2026/08/05/555243ef-3f8c-4d45-b1c1-1d168695f888/IGVFFI5816WINA.fastq.gz
IGVFFI6093DPZW	raw	IGVFDS6578UICO	C29	0	reads	fastq	1644357320	75c3dcf065469b0ed8a6f451b180d094	https://api.data.igvf.org/sequence-files/IGVFFI6093DPZW/@@download/IGVFFI6093DPZW.fastq.gz	s3://igvf-public/2026/08/05/2f0763f4-2db5-45e5-9215-1f56ef9529dc/IGVFFI6093DPZW.fastq.gz
IGVFFI6316RUAL	raw	IGVFDS6578UICO	C29	0	reads	fastq	1649232165	de3f26adace521e3246188c0d7edb5d5	https://api.data.igvf.org/sequence-files/IGVFFI6316RUAL/@@download/IGVFFI6316RUAL.fastq.gz	s3://igvf-public/2026/08/05/cb978966-6a0b-4675-bb55-f2652d4ab053/IGVFFI6316RUAL.fastq.gz
IGVFFI6817ZWQL	raw	IGVFDS6578UICO	C29	0	reads	fastq	1726995075	ecf3523868caa711bc6a1bda7ca9bf4f	https://api.data.igvf.org/sequence-files/IGVFFI6817ZWQL/@@download/IGVFFI6817ZWQL.fastq.gz	s3://igvf-public/2026/08/06/dfa8af27-8941-4982-ab08-64ad6415aa91/IGVFFI6817ZWQL.fastq.gz
IGVFFI6974HSLQ	raw	IGVFDS6578UICO	C29	0	reads	fastq	1720990815	b9220a644e4df3a0e9de211c306cda0a	https://api.data.igvf.org/sequence-files/IGVFFI6974HSLQ/@@download/IGVFFI6974HSLQ.fastq.gz	s3://igvf-public/2026/08/06/71ce8e33-db46-4329-9031-9d719278fb23/IGVFFI6974HSLQ.fastq.gz
IGVFFI7316SRSW	raw	IGVFDS6578UICO	C29	0	reads	fastq	1636877377	2aca84ae63b4d6b11f42b460bb90dc69	https://api.data.igvf.org/sequence-files/IGVFFI7316SRSW/@@download/IGVFFI7316SRSW.fastq.gz	s3://igvf-public/2026/08/05/63445d39-d2ed-426a-ac72-093ae88f1244/IGVFFI7316SRSW.fastq.gz
IGVFFI7661TGKQ	raw	IGVFDS6578UICO	C29	0	reads	fastq	1646621582	6e14e327b832d107cd6840792559113f	https://api.data.igvf.org/sequence-files/IGVFFI7661TGKQ/@@download/IGVFFI7661TGKQ.fastq.gz	s3://igvf-public/2026/08/05/fb50c792-5f43-4247-bd29-24780e425b1c/IGVFFI7661TGKQ.fastq.gz
IGVFFI8134NKZI	raw	IGVFDS6578UICO	C29	0	reads	fastq	1584041232	e1cbe4d888bb02905c5ad46cd12dcab6	https://api.data.igvf.org/sequence-files/IGVFFI8134NKZI/@@download/IGVFFI8134NKZI.fastq.gz	s3://igvf-public/2026/08/05/cd97ebe4-21d5-4751-8ab4-ee7b0078ad3d/IGVFFI8134NKZI.fastq.gz
IGVFFI8664MVYJ	raw	IGVFDS6578UICO	C29	0	reads	fastq	1754321857	1e14c5318c85baf152fb157d6b665fbb	https://api.data.igvf.org/sequence-files/IGVFFI8664MVYJ/@@download/IGVFFI8664MVYJ.fastq.gz	s3://igvf-public/2026/08/06/e3c12f51-4d9f-403a-96ec-9255af5c627c/IGVFFI8664MVYJ.fastq.gz
IGVFFI8816AACA	raw	IGVFDS6578UICO	C29	0	reads	fastq	1631612790	47ee965ae7ec4cd5526d2d53b0b9a0aa	https://api.data.igvf.org/sequence-files/IGVFFI8816AACA/@@download/IGVFFI8816AACA.fastq.gz	s3://igvf-public/2026/08/05/3b0073b3-fccf-462a-bd29-22f79228ab7a/IGVFFI8816AACA.fastq.gz
IGVFFI9689XJSG	raw	IGVFDS6578UICO	C29	0	reads	fastq	1716466061	e20c80d55818d08e16576f8e49da00a2	https://api.data.igvf.org/sequence-files/IGVFFI9689XJSG/@@download/IGVFFI9689XJSG.fastq.gz	s3://igvf-public/2026/08/06/370bfc45-a7a6-417f-b673-2c5588d22358/IGVFFI9689XJSG.fastq.gz
IGVFFI9898PKGY	raw	IGVFDS6578UICO	C29	0	reads	fastq	1769359519	d9d8cb89260a4edd189f9eadb66534a8	https://api.data.igvf.org/sequence-files/IGVFFI9898PKGY/@@download/IGVFFI9898PKGY.fastq.gz	s3://igvf-public/2026/08/06/521f17eb-d649-413d-a59c-df772181077a/IGVFFI9898PKGY.fastq.gz
IGVFFI9923YZWE	raw	IGVFDS6578UICO	C29	0	reads	fastq	1720376716	4750c6ccadfcc1ab0c9c7d5bb85ed75c	https://api.data.igvf.org/sequence-files/IGVFFI9923YZWE/@@download/IGVFFI9923YZWE.fastq.gz	s3://igvf-public/2026/08/06/b0028ffa-7c88-48bb-b20b-f2ca87b68489/IGVFFI9923YZWE.fastq.gz
IGVFFI1197IDIU	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1706321007	97883a57102101bb28ec3314798228ef	https://api.data.igvf.org/sequence-files/IGVFFI1197IDIU/@@download/IGVFFI1197IDIU.fastq.gz	s3://igvf-public/2026/08/06/fc41739d-9f5d-4d67-9cd0-ae31bebd77f9/IGVFFI1197IDIU.fastq.gz
IGVFFI1403FJAO	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1611226874	f24d19640d42acfc56e52fc1bf54dd0c	https://api.data.igvf.org/sequence-files/IGVFFI1403FJAO/@@download/IGVFFI1403FJAO.fastq.gz	s3://igvf-public/2026/08/05/2a0821af-a260-40f0-b08d-71259a52971e/IGVFFI1403FJAO.fastq.gz
IGVFFI1518CZVC	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1556613217	9d155801bb5568e983d2767b8e312025	https://api.data.igvf.org/sequence-files/IGVFFI1518CZVC/@@download/IGVFFI1518CZVC.fastq.gz	s3://igvf-public/2026/08/05/93022ed0-491a-4c4e-adf8-878dd85b74d8/IGVFFI1518CZVC.fastq.gz
IGVFFI2423QJJM	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1597977663	6a2dc3646d0703578360dc019738b41b	https://api.data.igvf.org/sequence-files/IGVFFI2423QJJM/@@download/IGVFFI2423QJJM.fastq.gz	s3://igvf-public/2026/08/05/721d9bfa-94bc-4897-abf3-44543b89fd20/IGVFFI2423QJJM.fastq.gz
IGVFFI2769WZHW	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1697210143	40406cdda87d1a41e9f0d610db67a8c3	https://api.data.igvf.org/sequence-files/IGVFFI2769WZHW/@@download/IGVFFI2769WZHW.fastq.gz	s3://igvf-public/2026/08/06/d0f0ebdb-19ac-4efd-9097-4f8ea3f20c5b/IGVFFI2769WZHW.fastq.gz
IGVFFI2810HCCY	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1548610666	9c11d3f1e157561c29a2acf20c0abc9d	https://api.data.igvf.org/sequence-files/IGVFFI2810HCCY/@@download/IGVFFI2810HCCY.fastq.gz	s3://igvf-public/2026/08/05/3d87984f-da04-4e10-a395-9d3a16405109/IGVFFI2810HCCY.fastq.gz
IGVFFI2872CWRN	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1616341100	acb2fe5827ebaa67e1e367765feee947	https://api.data.igvf.org/sequence-files/IGVFFI2872CWRN/@@download/IGVFFI2872CWRN.fastq.gz	s3://igvf-public/2026/08/05/b49768aa-99e9-4efe-aada-996e75fa18a9/IGVFFI2872CWRN.fastq.gz
IGVFFI3212FXCS	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1621818007	bf84c093d7e48b9df562d95eb502eb20	https://api.data.igvf.org/sequence-files/IGVFFI3212FXCS/@@download/IGVFFI3212FXCS.fastq.gz	s3://igvf-public/2026/08/05/ad3e374b-0d62-42e1-9782-2e77e59a783b/IGVFFI3212FXCS.fastq.gz
IGVFFI3220KPFX	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1590124794	e3d39f157341af29c873df76694efe8f	https://api.data.igvf.org/sequence-files/IGVFFI3220KPFX/@@download/IGVFFI3220KPFX.fastq.gz	s3://igvf-public/2026/08/05/3ccc961c-16f6-4998-b07d-5a149681fe6c/IGVFFI3220KPFX.fastq.gz
IGVFFI3513TEKD	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1595212852	598fb241fb24dfc84c1be155ae10e13d	https://api.data.igvf.org/sequence-files/IGVFFI3513TEKD/@@download/IGVFFI3513TEKD.fastq.gz	s3://igvf-public/2026/08/05/ac4d5c9b-cade-487c-8297-00355faca634/IGVFFI3513TEKD.fastq.gz
IGVFFI3606PCLI	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1572924570	49f09685ed1db3b2291a3dadc8c59baa	https://api.data.igvf.org/sequence-files/IGVFFI3606PCLI/@@download/IGVFFI3606PCLI.fastq.gz	s3://igvf-public/2026/08/06/1a7cc724-7880-458c-b1bd-ae8b752365d2/IGVFFI3606PCLI.fastq.gz
